ts	phase	decision	why	evidence	result
2026-08-15T19:40:16Z	frame	Created a dedicated public-readiness task before changing repository policy	Public visibility needs a durable owner and acceptance contract	beadshx-m01.1	in progress
2026-08-15T19:53:18Z	scope	kept the GitHub repository private and retained the safety work	the repository can become a CAF component, so publication is not authorized	beadshx-m01.1	visibility change deferred and security and local-CI work continues
2026-08-15T20:08:14Z	audit	scanned the tracked tree and BeadsHX commit range with the pinned Gitleaks binary	a private component still needs proof that its repository-owned history contains no credentials	build/evidence/secrets/gitleaks-private-hardening.json	no BeadsHX findings and scanning every private remote ref remains a later publication gate
2026-08-15T20:08:14Z	design	made one CI lane runner the owner of local and hosted repository checks	local and GitHub results must not drift into separate implementations	scripts/beadshx/ci-lane.sh, .github/workflows/beadshx-bootstrap.yml	GitHub now adds only runner setup, dependencies, and artifact transport
2026-08-15T20:08:14Z	verification	ran all six CI lanes through the local orchestrator	the private repository needs complete checks without GitHub runner access	build/evidence/local-ci/results.json	all six lanes passed
2026-08-15T20:27:37Z	implementation	used one local staged-Go wrapper instead of a remote pre-commit GolangCI environment	the repository already pins the Go toolchain and GolangCI module bytes, while the remote hook cloned a large duplicate environment	scripts/beadshx/check-staged-go.sh and .pre-commit-config.yaml	the hook reads index blobs, checks formatting, and never changes the worktree or index
2026-08-15T20:27:37Z	verification	ran package verification plus Linux and Windows GolangCI profiles	the packaging verifier changed to handle close errors and document reviewed file and archive boundaries	npm run package and CGO_ENABLED=0 GOOS=linux and GOOS=windows make -e ci-pr-lint	package passed and both target lint profiles reported zero issues
2026-08-15T20:27:37Z	triage	kept the mandatory bd-toolchain pin and split the inherited worktree test failure into a dedicated bug	the synthetic test resolves ambient bd and fails before it reaches the intended hook behavior because weakening the dispatcher reduces repository safety	focused TestInstallHooksBeads_WorktreeAccess reproduction and beadshx-m01.2	repository CI remains green and the full-suite test-harness boundary is tracked separately
2026-08-15T20:31:20Z	review	requested independent Oracle review of the staged private-repository hardening	the security acceptance contract requires an independent challenge of hooks, history scanning, and local/hosted CI parity	caf-oracle request orq_20260815T202844Z_76d4971c	request prepared for GPT-5.6 Pro review
2026-08-15T20:34:38Z	review	preserved the Oracle review without submission after exact-model proof failed closed	caf-oracle found two composer-owned model controls and did not guess which one represented GPT-5.6 Pro	orq_20260815T202844Z_76d4971c and provider defect record	Submit was not attempted until the provider mapping was repaired
2026-08-15T22:29:54Z	review	retained the Oracle block and corrected the staged implementation	the review found unsafe staged-file mutation, hidden hosted exits, weak tool receipts, mutable secret exceptions, and package input races	orq_20260815T202844Z_76d4971c	corrected implementation is ready for local verification and Oracle reconciliation
2026-08-15T22:37:43Z	verification	ran the real hook, deterministic package check, and local CI without GitHub credentials or a usable gh command	the corrected state needs system evidence at the same boundaries that contributors use	.githooks/pre-commit and npm run package and npm run ci:local	all checks passed and Oracle reconciliation is ready
2026-09-01T20:52:33Z	scope	resumed the hosted-CI task under explicit publication authority	the requester authorized publication only after a complete safety review	beadshx-program.1	full-tree, history, identity, license, workflow, and GitHub-surface gates now precede visibility change
2026-09-01T21:02:00Z	privacy	moved the Beads Dolt data ref to a dedicated private repository	GitHub visibility applies to every ref, so refs/dolt/data cannot remain beside public code	private sidecar ref verification and origin ref removal	the private copy is verified and the code repository no longer advertises refs/dolt/data or __dolt_remote_info__
2026-09-01T21:15:00Z	audit	scanned the tracked tree, BeadsHX history, remaining origin branches, and public GitHub text surfaces	publication exposes Git data plus pull requests, comments, workflow logs, and artifacts	pinned Gitleaks; local-path guard; 17 pull requests; 21 comments; 563 workflow runs; 23 available logs; zero artifacts	no unreviewed secret, machine-path, private-link, or identity match remains in repository content or GitHub text surfaces
2026-09-01T21:15:00Z	identity	changed future local commit attribution to the approved public handle and GitHub noreply address	new public commits must not add a private email or full name	local Git configuration	future attribution is safe; existing commit metadata still requires explicit exposure approval or a separate sanitized-repository strategy
