ts	phase	decision	why	evidence	result
2026-08-15T05:22:06Z	source-locks	Locked the upstream Beads source to v1.2.1.	Compatibility needs one exact source and database contract.	issue:beadshx-m00-02; commit:WORKTREE; artifact:upstream/locks/beads-v1.2.1.json; source-commit:634cbbc4bc580fa5124f63fdf65d137a46d5b4ff	state:worktree; disposition:accepted-for-bootstrap
2026-08-15T05:22:06Z	compiler-lock	Locked the haxe.go reference and implementation commits.	Compiler changes must start from reviewed bytes in an isolated worktree.	issue:beadshx-m00-03; commit:WORKTREE; artifact:upstream/locks/haxe-go.json; source-commit:990d78bcf7a8641ef589cd230b7d69d59beadb84	state:worktree; disposition:accepted-for-bootstrap
2026-08-15T05:22:06Z	cafetera	Reused the existing Cafetera task boundary and Brew owners.	A competing task model would create two authorities for the same work.	issue:beadshx-m00-04; commit:WORKTREE; artifact:engdocs/beadshx/program/cafetera-reconciliation.md; source-commit:c9723630b45bc0ed422fcfbab6b05ddf246d3bc0	state:worktree; disposition:reuse-existing-owners
2026-08-15T05:22:06Z	architecture	Accepted seven architecture records for implementation.	The records separate Haxe behavior from typed native integration and storage ownership.	issue:beadshx-m00-07; commit:WORKTREE; artifact:engdocs/beadshx/decisions/0001-hybrid-haxe-go-ownership.md	state:worktree; disposition:accepted-for-implementation
2026-08-15T05:22:06Z	data-safety	Required disposable markers and native readback for destructive tests.	Bootstrap checks must never write to a primary Beads database.	issue:beadshx-m00-06; commit:WORKTREE; artifact:engdocs/beadshx/operations/data-safety.md	state:worktree; disposition:required
2026-08-15T05:22:06Z	compatibility	Made compatibility exceptions visible and reviewable.	A successful smaller test profile cannot hide missing behavior or evidence.	issue:beadshx-m00-08; commit:WORKTREE; artifact:engdocs/beadshx/program/exceptions.md	state:worktree; disposition:required
2026-08-15T05:22:06Z	upstream-evidence	Captured the complete upstream v1.2.1 baseline.	The port needs a reproducible oracle before it changes behavior.	issue:beadshx-m00-10; commit:WORKTREE; artifact:engdocs/beadshx/evidence/upstream-v1.2.1/manifest.json; source-commit:634cbbc4bc580fa5124f63fdf65d137a46d5b4ff	state:worktree; disposition:baseline-complete
2026-08-15T05:22:06Z	license	Kept the project license matrix in proposed state.	Publication needs an explicit requester decision and later automated release evidence.	issue:beadshx-m00-05; commit:WORKTREE; artifact:engdocs/beadshx/program/license-matrix.md	state:worktree; disposition:requester-approval-required
2026-08-15T05:22:06Z	program-ledger	Created one append-only cross-repository decision trail.	Reviewers need one place to trace issues, commits, evidence, and dispositions.	issue:beadshx-m00-09; commit:WORKTREE; artifact:engdocs/beadshx/program/ledger.md	state:worktree; disposition:implementation-in-progress
2026-08-15T05:28:24Z	source-locks	Committed the accepted Beads source lock.	The implementation commit now preserves the exact source and database contract.	issue:beadshx-m00-02; commit:b762b54bd; artifact:upstream/locks/beads-v1.2.1.json; source-commit:634cbbc4bc580fa5124f63fdf65d137a46d5b4ff	state:committed; disposition:accepted-for-bootstrap
2026-08-15T05:28:24Z	compiler-lock	Committed the accepted haxe.go source locks.	The implementation commit now preserves the reviewed compiler inputs.	issue:beadshx-m00-03; commit:b762b54bd; artifact:upstream/locks/haxe-go.json; source-commit:990d78bcf7a8641ef589cd230b7d69d59beadb84	state:committed; disposition:accepted-for-bootstrap
2026-08-15T05:28:24Z	cafetera	Committed the Cafetera reconciliation decision.	The implementation commit now records the existing task and Brew owners.	issue:beadshx-m00-04; commit:b762b54bd; artifact:engdocs/beadshx/program/cafetera-reconciliation.md; source-commit:c9723630b45bc0ed422fcfbab6b05ddf246d3bc0	state:committed; disposition:reuse-existing-owners
2026-08-15T05:28:24Z	architecture	Committed the seven accepted architecture records.	The implementation commit now records the Haxe, native Go, storage, and compatibility boundaries.	issue:beadshx-m00-07; commit:b762b54bd; artifact:engdocs/beadshx/decisions/0001-hybrid-haxe-go-ownership.md	state:committed; disposition:accepted-for-implementation
2026-08-15T05:28:24Z	data-safety	Committed the destructive-test safety contract.	The implementation commit now requires disposable markers and native readback.	issue:beadshx-m00-06; commit:b762b54bd; artifact:engdocs/beadshx/operations/data-safety.md	state:committed; disposition:required
2026-08-15T05:28:24Z	compatibility	Committed the compatibility exception policy.	The implementation commit now prevents smaller test profiles from hiding missing behavior.	issue:beadshx-m00-08; commit:b762b54bd; artifact:engdocs/beadshx/program/exceptions.md	state:committed; disposition:required
2026-08-15T05:28:24Z	upstream-evidence	Committed the complete upstream v1.2.1 baseline.	The implementation commit now preserves the reproducible compatibility oracle.	issue:beadshx-m00-10; commit:b762b54bd; artifact:engdocs/beadshx/evidence/upstream-v1.2.1/manifest.json; source-commit:634cbbc4bc580fa5124f63fdf65d137a46d5b4ff	state:committed; disposition:baseline-complete
2026-08-15T05:28:24Z	license	Committed the proposed license matrix without approving it.	Publication still needs an explicit requester decision and later release evidence.	issue:beadshx-m00-05; commit:b762b54bd; artifact:engdocs/beadshx/program/license-matrix.md	state:committed; disposition:requester-approval-required
2026-08-15T05:28:24Z	program-ledger	Committed the cross-repository decision trail.	The implementation commit now gives reviewers one durable trace from issues to artifacts.	issue:beadshx-m00-09; commit:b762b54bd; artifact:engdocs/beadshx/program/ledger.md	state:committed; disposition:implementation-complete
2026-08-15T05:32:46Z	license	Approved MIT for BeadsHX-authored source and the recorded attribution plan.	MIT preserves the upstream project boundary while exact generated notices cover compiler-owned output.	issue:beadshx-m00-05; commit:WORKTREE; artifact:engdocs/beadshx/program/license-matrix.md	state:worktree; disposition:requester-approved
2026-08-15T05:33:09Z	license	Committed the approved MIT license and attribution plan.	The implementation commit adds a fail-closed check for the fixed source and generated-notice boundaries.	issue:beadshx-m00-05; commit:3f729fcbf; artifact:engdocs/beadshx/program/license-matrix.md	state:committed; disposition:approval-implemented
2026-08-15T05:40:07Z	toolchains	Locked the shared tools, Linux native profile, Dolt modules, and CI actions.	Clean machines must reject unapproved compiler, runner, dependency, or auxiliary-tool drift.	issue:beadshx-m01-04; commit:WORKTREE; artifact:engdocs/beadshx/program/toolchain-locks.json	state:worktree; disposition:accepted-for-bootstrap
2026-08-15T05:40:35Z	toolchains	Committed the fail-closed bootstrap toolchain policy.	The implementation commit connects exact locks to local checks, negative tests, and the Linux CI profile.	issue:beadshx-m01-04; commit:8527a4318; artifact:engdocs/beadshx/program/toolchain-locks.json	state:committed; disposition:implementation-complete
2026-08-15T05:50:28Z	base-ci	Split bootstrap checks into six evidence-owning Linux jobs.	Oracle, parity, license, secret, artifact, and final-gate results must remain distinct and traceable.	issue:beadshx-m01-07; commit:WORKTREE; artifact:.github/workflows/beadshx-bootstrap.yml	state:worktree; disposition:hosted-run-required
2026-08-15T05:50:52Z	base-ci	Committed the six-lane bootstrap workflow and local policy evidence.	Hosted GitHub execution remains a separate external result and cannot be inferred from local checks.	issue:beadshx-m01-07; commit:166bf62a7; artifact:.github/workflows/beadshx-bootstrap.yml	state:committed; disposition:hosted-run-required
2026-08-15T06:22:16Z	build-commands	Added one machine-readable command surface for bootstrap development.	Contributors need deterministic entry points without confusing inherited upstream targets with BeadsHX evidence.	issue:beadshx-m01-05; commit:WORKTREE; artifact:engdocs/beadshx/operations/build-commands.md	state:worktree; disposition:verification-required
